Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,inductive_score,deductive_score,label
4,3,1,4,1,4,2,4,3,2,3,4,2,2,15,24,Deductive
3,1,2,1,4,1,2,4,1,4,3,1,2,3,18,14,Inductive
4,1,4,1,2,3,3,3,2,1,1,4,2,1,18,14,Inductive
2,2,3,3,3,1,3,3,2,3,3,1,4,3,20,16,Inductive
2,3,4,1,1,4,1,2,2,1,1,1,3,1,14,13,Inductive
3,3,1,3,3,3,2,3,4,2,4,3,3,1,18,20,Deductive
1,2,4,2,2,4,4,4,1,3,3,2,2,3,17,20,Deductive
2,3,2,4,1,1,1,4,2,2,1,3,4,4,14,20,Deductive
4,2,2,4,1,1,4,4,2,3,1,4,4,1,20,17,Inductive
3,4,2,2,4,2,2,4,1,4,4,3,4,4,20,23,Deductive
4,4,1,4,2,1,2,4,4,3,3,4,3,3,19,23,Deductive
4,1,3,4,1,3,2,3,3,2,1,2,3,2,18,16,Inductive
2,1,3,3,1,4,4,4,3,3,3,2,1,4,17,21,Deductive
4,3,4,2,1,1,3,4,3,1,3,3,4,3,20,19,Inductive
3,2,3,3,1,4,3,1,2,1,4,2,1,4,14,20,Deductive
4,2,2,4,2,3,2,2,4,2,4,4,3,3,19,22,Deductive
2,2,3,2,4,2,1,1,3,2,2,2,2,3,17,14,Inductive
3,4,1,2,4,3,2,2,1,2,1,1,4,3,17,16,Inductive
2,3,3,3,4,1,4,1,4,4,2,1,2,1,23,12,Inductive
3,1,3,2,1,3,2,2,2,2,3,2,3,4,16,17,Deductive
1,3,3,4,3,1,2,2,2,3,3,4,3,4,17,21,Deductive
2,4,3,2,3,1,3,2,4,3,2,1,4,1,22,13,Inductive
4,1,1,2,1,1,3,1,4,3,4,2,2,3,18,14,Inductive
2,1,2,3,2,2,4,3,1,4,2,4,1,2,16,17,Deductive
1,4,1,1,3,3,4,3,3,1,2,2,1,3,14,18,Deductive
1,4,1,3,4,2,1,3,4,3,2,3,1,4,15,21,Deductive
2,3,4,4,3,3,4,2,2,3,2,1,2,2,20,17,Inductive
4,1,1,1,3,2,2,2,1,1,4,1,2,1,14,12,Inductive
1,1,3,2,1,3,2,3,1,4,2,2,1,2,13,15,Deductive
1,3,4,2,4,3,3,2,2,1,2,1,1,1,16,14,Inductive
4,2,2,2,1,2,3,4,2,4,3,3,2,3,18,19,Deductive
1,1,1,4,4,4,3,3,4,1,1,3,4,4,18,20,Deductive
2,1,2,1,3,4,1,3,4,1,3,3,2,3,15,18,Deductive
4,2,2,1,2,1,2,2,2,2,4,4,3,1,17,15,Inductive
2,1,3,2,4,2,4,2,2,4,3,3,1,3,20,16,Inductive
3,3,3,3,1,1,2,2,4,4,2,4,3,2,20,17,Inductive
1,2,1,4,4,1,1,1,4,4,1,2,1,3,16,14,Inductive
3,2,1,4,4,3,1,3,2,4,1,2,2,1,17,16,Inductive
1,2,4,1,1,3,4,3,4,2,3,1,1,3,17,16,Inductive
1,4,2,2,1,3,3,1,4,4,4,4,2,4,17,22,Deductive
1,1,2,4,3,3,3,4,3,1,1,3,2,3,15,19,Deductive
2,1,1,4,3,1,4,4,2,4,3,4,2,4,18,21,Deductive
4,2,4,2,4,4,4,2,4,4,1,1,2,3,26,15,Inductive
2,2,3,1,4,3,3,4,3,4,3,4,4,3,23,20,Inductive
2,4,4,2,3,4,3,1,3,3,1,2,4,2,22,16,Inductive
2,1,3,3,4,2,4,3,1,4,4,4,2,4,20,21,Deductive
3,3,1,2,2,3,3,1,1,2,3,1,1,4,13,17,Deductive
2,4,4,2,4,3,2,2,3,2,3,3,3,4,20,21,Deductive
2,2,4,4,3,4,1,1,3,3,1,4,2,3,18,19,Deductive
1,1,3,4,4,3,2,4,4,2,4,1,1,3,17,20,Deductive
3,3,4,2,4,1,4,1,3,4,4,3,2,3,24,17,Inductive
4,3,4,4,3,4,1,2,1,3,3,4,2,2,18,22,Deductive
4,3,3,4,2,3,2,3,2,3,2,2,2,3,18,20,Deductive
4,3,4,3,4,2,3,3,1,4,2,3,3,4,23,20,Inductive
3,2,1,3,4,3,4,1,3,4,3,3,4,4,23,19,Inductive
3,2,4,3,3,4,3,3,2,2,4,4,1,2,18,22,Deductive
1,3,2,4,4,3,3,2,3,1,2,4,2,2,16,20,Deductive
2,4,1,2,2,3,3,4,4,4,1,4,3,2,19,20,Deductive
4,3,3,2,3,4,4,2,1,1,4,3,2,2,18,20,Deductive
1,3,4,4,3,2,3,1,1,2,4,1,4,2,18,17,Inductive
3,4,1,2,3,1,1,2,2,2,1,2,2,4,14,16,Deductive
4,4,2,4,3,1,3,4,4,4,3,1,2,4,22,21,Inductive
1,3,2,3,4,4,4,1,3,4,3,3,1,4,19,21,Deductive
3,3,3,4,3,4,4,1,1,1,4,4,1,4,16,24,Deductive
4,3,4,1,3,3,2,4,4,3,3,2,2,3,22,19,Inductive
4,4,4,3,3,3,1,3,4,3,3,2,4,2,23,20,Inductive
4,2,1,4,1,4,2,2,1,2,3,3,3,3,14,21,Deductive
1,2,3,1,1,3,2,2,2,2,4,2,4,3,15,17,Deductive
2,3,1,1,4,2,2,4,4,2,2,2,4,1,19,15,Inductive
2,2,1,3,3,1,1,3,1,1,4,2,1,1,10,16,Deductive
2,2,2,1,2,2,4,1,1,4,2,4,1,3,16,15,Inductive
4,2,4,3,4,1,1,3,3,1,2,2,1,4,18,17,Inductive
2,1,3,3,1,4,2,4,2,2,1,2,1,1,13,16,Deductive
4,4,2,2,3,3,4,1,4,3,3,2,4,2,24,17,Inductive
3,4,3,1,1,4,1,1,3,1,4,2,3,1,15,17,Deductive
4,4,3,4,3,2,1,3,2,1,3,4,4,1,18,21,Deductive
3,4,1,1,2,1,3,4,3,4,2,2,4,3,20,17,Inductive
3,3,2,2,3,3,1,3,1,4,3,3,3,4,17,21,Deductive
1,3,1,2,4,3,3,3,4,3,3,3,3,1,19,18,Inductive
4,4,1,4,1,4,1,1,1,3,2,4,2,4,13,23,Deductive
4,1,3,1,2,3,2,2,4,2,3,2,4,1,21,13,Inductive
4,3,4,4,3,4,3,4,4,2,4,1,3,4,23,24,Deductive
3,4,1,3,3,2,3,4,1,2,4,3,1,1,14,21,Deductive
1,4,1,1,2,3,3,4,2,1,3,3,2,3,12,21,Deductive
1,4,2,4,1,4,1,3,3,3,4,3,3,2,14,24,Deductive
2,1,1,2,1,2,4,3,3,2,1,3,4,1,17,13,Inductive
2,1,2,4,1,1,1,4,1,4,3,4,2,4,13,21,Deductive
3,3,1,4,3,4,3,1,1,1,1,2,4,3,16,18,Deductive
2,1,3,1,4,1,2,2,2,2,1,4,2,3,17,13,Inductive
1,1,2,3,4,2,2,1,4,4,2,3,2,1,19,13,Inductive
2,4,4,1,2,1,1,2,2,3,4,3,2,3,16,18,Deductive
4,1,4,3,4,2,1,2,2,1,2,1,4,1,20,12,Inductive
1,2,3,2,2,4,4,4,4,3,1,1,2,2,19,16,Inductive
3,4,3,2,3,1,4,4,2,3,2,4,3,2,21,19,Inductive
3,3,3,3,2,2,2,4,3,2,2,3,3,3,18,20,Deductive
3,2,3,2,3,1,4,2,2,3,2,2,3,2,21,13,Inductive
2,4,3,3,3,3,3,3,3,4,4,4,4,3,22,24,Deductive
2,2,3,2,2,2,3,3,4,3,2,2,3,4,20,17,Inductive
2,3,2,2,3,2,3,3,2,3,2,3,3,2,18,17,Inductive
2,2,3,2,3,3,3,3,3,3,2,3,3,2,20,17,Inductive
1,3,2,2,3,2,3,4,3,2,3,4,3,4,17,22,Deductive
2,2,2,2,3,2,2,2,2,2,3,3,2,3,15,17,Deductive
2,2,4,2,3,2,3,3,4,3,3,3,4,2,23,17,Inductive
2,3,4,3,2,3,4,3,1,1,2,4,2,2,16,20,Deductive
4,4,3,4,4,4,3,4,4,4,4,4,3,4,25,28,Deductive
2,4,3,2,2,3,2,4,2,2,4,4,2,3,15,24,Deductive
3,1,4,1,4,3,4,4,2,2,2,2,4,2,23,15,Inductive
4,4,3,2,4,3,4,4,4,3,3,4,4,2,26,22,Inductive
1,2,3,3,2,2,2,3,3,3,3,3,3,3,17,19,Deductive
2,3,1,2,3,3,4,3,3,2,3,4,3,4,18,22,Deductive
3,2,4,2,4,1,3,3,4,4,2,1,4,1,26,12,Inductive
2,3,3,3,2,2,2,3,2,2,3,3,3,2,16,19,Deductive
3,2,3,3,3,4,3,4,3,3,3,4,4,4,22,24,Deductive
4,2,4,1,4,2,4,4,4,4,2,2,4,2,28,15,Inductive
1,3,4,1,4,3,4,4,3,4,3,3,3,3,23,20,Inductive
1,4,2,1,3,1,2,4,2,4,3,3,3,2,17,18,Deductive
2,3,3,2,4,2,4,3,3,2,3,4,3,2,21,19,Inductive
3,4,4,2,2,2,4,3,3,4,2,3,3,3,23,19,Inductive
3,4,3,2,3,2,3,4,4,2,4,4,3,2,21,22,Deductive
4,4,4,4,4,3,4,3,3,4,4,4,4,4,27,26,Inductive
4,3,4,2,4,3,4,3,2,4,4,4,2,3,24,22,Inductive
2,4,4,2,2,1,2,4,1,4,4,4,4,2,19,21,Deductive
2,2,2,1,4,2,3,2,3,2,2,2,2,2,18,13,Inductive
2,4,3,2,2,2,3,4,2,2,3,3,4,3,18,21,Deductive
2,3,4,2,3,1,4,4,3,4,4,4,4,2,24,20,Inductive
3,3,4,2,4,3,2,4,2,2,3,3,3,3,20,21,Deductive
1,3,4,1,4,2,4,4,4,3,4,4,4,4,24,22,Inductive
4,4,4,2,4,4,4,4,4,4,4,4,4,4,28,26,Inductive
2,3,3,2,3,3,3,4,3,3,2,3,4,2,21,19,Inductive
2,4,4,4,4,4,4,4,4,4,3,0,3,3,25,22,Inductive
1,3,4,3,3,2,3,4,3,4,3,2,4,1,22,18,Inductive
2,4,3,2,3,2,3,4,2,3,2,3,2,3,18,20,Deductive
2,4,3,2,4,1,4,2,3,4,3,3,4,2,24,17,Inductive
2,3,4,2,2,2,2,2,2,2,2,2,2,2,16,15,Inductive
4,4,4,3,4,4,4,4,4,4,4,4,4,4,28,27,Inductive
4,3,3,1,4,1,4,2,4,4,1,2,3,1,26,11,Inductive
3,3,3,3,3,3,3,3,4,4,3,4,4,4,24,23,Inductive
3,4,3,2,2,2,2,3,3,3,2,4,2,2,18,19,Deductive
2,4,2,2,3,2,3,4,2,4,4,3,3,3,19,22,Deductive
3,2,4,1,2,1,2,2,3,3,2,3,4,1,21,12,Inductive
4,3,4,1,4,3,3,3,3,2,3,4,4,4,24,21,Inductive
3,4,4,2,4,2,4,4,4,4,4,4,4,4,27,24,Inductive
4,4,4,2,3,4,4,4,2,3,4,2,3,2,23,22,Inductive
3,2,4,2,4,3,4,4,3,2,2,1,4,2,24,16,Inductive
1,2,1,2,2,3,2,2,3,3,3,2,4,4,16,18,Deductive
2,1,4,3,1,2,3,4,1,2,3,4,1,2,14,19,Deductive
2,3,4,1,4,4,4,4,3,4,4,4,4,4,25,24,Inductive
4,4,4,4,3,4,4,2,2,3,2,3,4,2,24,21,Inductive
3,4,3,4,1,3,2,4,2,2,3,2,2,2,15,22,Deductive
2,3,2,1,3,2,2,2,2,2,2,2,2,2,15,14,Inductive
2,4,1,2,2,2,2,1,3,1,2,1,2,2,13,14,Deductive
2,3,3,2,4,2,3,2,3,4,4,3,2,4,21,20,Inductive
2,4,4,2,2,3,3,3,3,3,4,3,2,3,19,22,Deductive
2,3,2,1,3,1,4,2,3,3,2,2,3,1,20,12,Inductive
2,3,4,2,3,3,4,3,3,3,3,3,4,3,23,20,Inductive
3,2,3,1,3,2,4,4,3,4,3,3,3,2,23,17,Inductive
3,4,3,1,3,1,3,3,3,3,1,3,3,1,21,14,Inductive
3,3,4,2,4,2,3,3,3,2,3,4,4,2,23,19,Inductive
2,3,2,2,3,1,3,3,2,3,2,2,3,2,18,15,Inductive
4,0,1,1,1,0,4,0,1,0,0,1,0,0,11,2,Inductive
4,2,0,0,0,1,0,2,1,1,1,4,2,4,8,14,Deductive
1,4,4,2,1,1,2,2,1,0,1,0,4,0,13,10,Inductive
1,0,1,4,0,1,4,2,1,0,2,4,4,1,11,14,Deductive
1,1,4,4,2,0,4,0,4,2,0,1,1,0,18,6,Inductive
4,0,1,4,0,0,0,0,0,1,2,0,4,1,10,7,Inductive
0,4,1,0,4,0,4,1,0,1,2,4,4,0,14,11,Inductive
1,0,4,2,0,0,0,0,0,0,0,0,0,0,5,2,Inductive
0,4,0,2,0,2,0,0,4,4,4,0,2,4,10,16,Deductive
2,0,0,2,0,1,0,4,0,0,4,4,0,2,2,17,Deductive
